,_id,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,behavior,behavior_type
0,024aae60-1a81-3f37-bbe6-3f832c919706,7.010387097,0.419354839,31,13040,default,1,1,13,outlier,outlier
1,028d67dd-c6d0-329f-a20e-78db9eab7a55,51.41939252,0.252336449,107,330113,default,1,1,27,outlier,outlier
2,02d12bf9-5fe2-3d0c-b233-30e02224b686,25.860775,0.275,40,62066,default,1,1,11,outlier,outlier
3,0b3aee1e-dc3b-3728-bc55-f57a23446b3d,0.205909091,0.818181818,11,136,default,1,1,9,outlier,outlier
4,0dbfffb4-3ed4-3cb2-904d-c348501a996e,0.122125,0.8125,16,118,default,1,1,13,outlier,outlier
5,16fdcdc8-702d-381b-af47-73af6de0750a,15.32678947,0.684210526,19,17473,default,1,1,13,outlier,outlier
6,200811cc-f582-31e3-9c06-3e1b3e45c70f,0.401189504,0.134110787,343,8257,default,2,1,46,outlier,outlier
7,212b75e4-4eab-333e-a0c9-97b30009e4d9,15.91386207,0.077586207,11.6,110761,default,57,10,9,BingPreview/1.0b;bingbot/2.0,bot
8,2319e7e0-6480-3fd7-9408-46a976d34436,0.0054375,0.25,2,3,default,4,4,2,Googlebot/2.1;unknown,bot
9,23b30eea-06c7-3576-bb6e-09df0fea6a9d,17.5334,0.19,200,210401,default,1,1,38,outlier,outlier
10,2e8eff2b-ff41-3df9-9173-1b0d0045938a,10.36028889,0.288888889,90,55946,default,1,1,26,outlier,outlier
11,33d57ba9-661a-3e45-8b90-bf3a9919586c,2.20195,0.6,20,2643,default,1,1,12,outlier,outlier
12,38b87097-94ef-3d18-ac00-40d935d70cba,9.4989375,0.5625,32,18238,default,1,1,18,outlier,outlier
13,39be731d-0db8-359c-aef0-e85c6f26778e,40.34403425,0.232876712,146,353414,default,1,1,34,outlier,outlier
14,3a5ee42f-282f-3900-af3f-8aeed2fdbcc5,0.584125,0.75,16,561,default,1,1,12,outlier,outlier
15,3f56fa42-3a39-37aa-bbbd-54f98db0d3ff,4.781528571,0.235714286,280,80330,default,1,1,66,outlier,outlier
16,41e3f31a-6691-3827-a041-53c707e00b23,7.433645833,0.541666667,48,21409,default,1,1,26,outlier,outlier
17,428082d3-91de-328c-ad78-9426e58525f4,9.885666667,0.472222222,36,21354,default,1,1,17,outlier,outlier
18,42c409c5-43c8-38a3-bc8e-31ba91e3dcba,14.54946667,0.866666667,15,13095,default,1,1,13,outlier,outlier
19,4518f94f-4f61-30b7-9111-acfef07b7d28,0.028842105,0.947368421,19,33,default,1,1,18,outlier,outlier
20,477d68be-4c83-35a8-a6d2-71b0f1ae19aa,0.328974359,0.743589744,39,770,private_ip,1,1,29,outlier,outlier
21,479ba55d-0866-3549-8600-2eeadef12073,265.94025,0.5,3,95739,default,2,2,3,BingPreview/1.0b;Mobile Safari,bot
22,48435580-b842-3e3d-8161-8b2edf1e72b3,18.450928,0.288,125,138382,default,1,1,36,outlier,outlier
23,49367d3e-5b7d-3000-a952-d50d75397080,0.02775,1,2,4,default,2,1,2,outlier,outlier
24,4a8c07b8-6f53-348f-98ea-a6792a1a1882,2.112666667,1,3,381,default,1,1,3,outlier,outlier
