user,pc,Rapid_file_access,Out_of_Working_Hours
861,3881,1,BENIGN
3773,3865,0,BENIGN
3093,3575,0,ANOMALY
467,7185,0,BENIGN
4427,9656,0,BENIGN
3445,6741,0,BENIGN
3172,1277,0,ANOMALY
2920,1065,0,BENIGN
131,5262,0,BENIGN
1686,6704,0,BENIGN
770,9594,0,BENIGN
2392,8989,0,BENIGN
2434,7255,0,BENIGN
1185,8441,1,BENIGN
4556,5692,0,BENIGN
3386,5419,0,BENIGN
4118,8960,0,BENIGN
4844,7078,0,BENIGN
2905,2437,0,ANOMALY
475,9620,0,BENIGN
1083,8032,1,BENIGN
2559,6731,0,ANOMALY
2048,4378,0,BENIGN
2748,9584,0,BENIGN
976,7347,0,BENIGN
1807,7401,0,BENIGN
190,7629,0,BENIGN
2735,5541,0,BENIGN
3006,8876,0,BENIGN
4659,9533,0,BENIGN
1900,9324,0,BENIGN
1268,1264,0,ANOMALY
1529,2434,0,BENIGN
3203,6327,0,BENIGN
3557,6097,0,BENIGN
3891,2660,0,BENIGN
647,6692,0,BENIGN
2889,3354,0,BENIGN
2436,9457,0,BENIGN
601,7461,0,ANOMALY
2364,8044,0,BENIGN
2062,6497,0,BENIGN
242,5549,0,BENIGN
2042,7334,0,BENIGN
2825,7010,0,BENIGN
2613,5926,0,BENIGN
1364,7065,0,BENIGN
1479,3179,0,BENIGN
2557,5967,0,BENIGN
776,1634,0,BENIGN
4015,4631,0,BENIGN
35,5677,0,BENIGN
3153,3218,0,BENIGN
1956,2389,0,BENIGN
1586,5276,0,BENIGN
3944,2249,0,ANOMALY
3074,8640,0,BENIGN
1022,6712,1,BENIGN
3462,2245,0,BENIGN
2614,9245,0,BENIGN
3844,1442,0,ANOMALY
1501,7976,0,BENIGN
4799,5675,0,BENIGN
162,8953,0,BENIGN
4298,5377,0,BENIGN
1982,8058,0,BENIGN
996,1822,0,BENIGN
4912,3939,0,BENIGN
3343,8096,0,BENIGN
4552,6765,0,BENIGN
3799,2031,0,BENIGN
1276,1562,0,BENIGN
1017,1340,1,BENIGN
338,5567,0,ANOMALY
879,8862,0,BENIGN
1077,3296,0,BENIGN
4888,1234,0,BENIGN
3994,6202,0,BENIGN
4860,2291,0,BENIGN
380,5727,0,BENIGN
493,9720,0,ANOMALY
2063,3939,0,BENIGN
3885,6435,1,BENIGN
65,7981,0,BENIGN
2569,6392,0,BENIGN
2028,8972,0,BENIGN
2696,2233,0,BENIGN
1496,3800,0,BENIGN
392,3775,0,BENIGN
4515,7044,0,BENIGN
4475,4487,1,BENIGN
3562,8383,0,BENIGN
2279,4850,0,BENIGN
3100,5997,0,BENIGN
201,1890,0,BENIGN
4876,6920,0,BENIGN
3105,2188,0,BENIGN
4599,6644,0,BENIGN
2455,1740,0,BENIGN
3646,2369,0,BENIGN
805,3000,0,BENIGN
2732,2471,0,BENIGN
2774,2536,0,BENIGN
1571,1318,0,BENIGN
2691,6153,0,BENIGN
3841,2894,0,BENIGN
1029,8991,0,BENIGN
503,9592,0,BENIGN
4494,6935,0,BENIGN
871,1723,0,BENIGN
4489,3329,0,BENIGN
207,3770,0,BENIGN
1485,8545,0,BENIGN
864,5846,0,BENIGN
2791,1267,0,BENIGN
564,1569,0,BENIGN
4192,2973,0,BENIGN
1758,9737,0,BENIGN
1679,3822,0,BENIGN
3243,5460,0,BENIGN
4637,1270,0,ANOMALY
1060,8641,0,BENIGN
1723,9930,0,BENIGN
3315,7680,0,ANOMALY
3158,2257,0,BENIGN
2626,9250,0,BENIGN
2730,6370,0,BENIGN
1598,5858,0,BENIGN
3061,9581,0,BENIGN
2694,9910,0,BENIGN
4892,7999,0,BENIGN
3628,1120,0,BENIGN
1364,7908,0,BENIGN
1982,3303,0,BENIGN
1664,5861,0,BENIGN
1530,3911,0,BENIGN
2039,9991,0,BENIGN
3303,8236,0,BENIGN
2238,6565,0,BENIGN
1307,7531,0,ANOMALY
4030,2109,0,BENIGN
2676,7929,0,BENIGN
1283,2250,0,ANOMALY
710,9177,0,BENIGN
4745,2649,0,BENIGN
4414,8351,0,BENIGN
3749,6911,0,BENIGN
4780,3956,0,BENIGN
664,6828,0,BENIGN
1999,5994,0,BENIGN
3446,7436,0,BENIGN
3744,9676,0,BENIGN
1496,8614,0,BENIGN
3305,9994,0,ANOMALY
3764,2715,0,BENIGN
1854,9150,0,BENIGN
4660,4483,0,BENIGN
1292,8675,0,BENIGN
3582,2757,0,BENIGN
3458,2809,0,BENIGN
1637,6539,0,BENIGN
3697,7048,0,BENIGN
3000,2151,0,BENIGN
3153,6492,0,BENIGN
699,7711,0,BENIGN
2161,7302,0,BENIGN
4098,5747,0,BENIGN
4738,9402,0,BENIGN
855,5681,1,BENIGN
3475,3507,0,BENIGN
1708,3963,0,BENIGN
2778,4428,0,BENIGN
1734,8494,0,BENIGN
4932,4955,0,BENIGN
3511,4705,0,ANOMALY
203,5038,0,BENIGN
3256,1713,0,BENIGN
4219,8260,0,BENIGN
4497,8011,0,ANOMALY
767,9879,0,BENIGN
4390,9521,0,BENIGN
2328,2746,0,BENIGN
2932,2207,0,BENIGN
198,1784,0,BENIGN
1931,3696,0,BENIGN
3583,8073,0,BENIGN
609,6036,0,BENIGN
3273,8127,0,BENIGN
1148,4718,0,ANOMALY
4283,6775,0,BENIGN
3398,8910,0,BENIGN
2512,3693,0,BENIGN
1795,1625,0,BENIGN
660,4708,0,BENIGN
2812,7859,0,BENIGN
1370,9953,0,BENIGN
1987,8692,0,BENIGN
147,7398,0,BENIGN
3220,8252,1,BENIGN
2912,2555,0,BENIGN
1735,9867,1,BENIGN
1844,5187,0,BENIGN
489,8767,0,BENIGN
2977,1036,0,ANOMALY
1960,2787,0,BENIGN
2386,7283,0,BENIGN
2920,9060,0,BENIGN
4737,9065,0,ANOMALY
1803,4880,0,BENIGN
4062,6932,0,BENIGN
3370,9328,0,BENIGN
263,7333,1,BENIGN
624,6759,0,BENIGN
1017,7485,0,BENIGN
3644,6067,0,BENIGN
4977,1661,0,BENIGN
2050,8973,0,BENIGN
3724,7386,0,BENIGN
4549,8887,0,BENIGN
3109,1414,0,BENIGN
4091,7850,0,BENIGN
2057,9534,0,BENIGN
3171,3729,0,BENIGN
1683,4897,0,BENIGN
2256,3169,0,BENIGN
1155,2878,0,BENIGN
4500,7454,0,BENIGN
3192,5570,0,BENIGN
1697,2515,1,BENIGN
3992,1574,0,BENIGN
4724,3867,0,BENIGN
4683,4544,0,BENIGN
1649,5477,1,BENIGN
1446,1071,0,BENIGN
4200,3980,0,BENIGN
3924,6492,0,BENIGN
254,5759,0,ANOMALY
3184,9084,0,ANOMALY
2558,1039,0,BENIGN
99,6373,0,BENIGN
2201,8565,0,BENIGN
2962,2900,0,BENIGN
4974,3217,0,ANOMALY
4434,5796,0,BENIGN
3778,5606,0,BENIGN
2870,2283,0,BENIGN
3235,9775,0,BENIGN
3792,9650,0,BENIGN
957,1815,0,BENIGN
4068,3511,0,BENIGN
161,1246,0,BENIGN
4494,5825,0,BENIGN
1301,7516,0,BENIGN
4912,1416,0,BENIGN
3988,7702,0,BENIGN
1528,4717,0,BENIGN
1219,1107,1,BENIGN
4497,5513,0,BENIGN
4736,2421,0,BENIGN
3105,8283,0,BENIGN
2736,1255,0,BENIGN
4556,8248,1,BENIGN
955,3962,0,BENIGN
4566,3282,0,BENIGN
3447,9744,1,BENIGN
1046,9372,0,BENIGN
1694,2477,0,BENIGN
3437,9762,0,BENIGN
563,5952,0,BENIGN
2486,6880,0,BENIGN
3355,6592,0,BENIGN
226,8091,0,BENIGN
4894,1591,0,BENIGN
960,7277,0,BENIGN
4549,3260,0,BENIGN
3068,1347,0,BENIGN
816,9357,0,BENIGN
4755,6032,0,BENIGN
4643,5443,0,BENIGN
3121,9774,0,BENIGN
17,7869,0,BENIGN
1244,6696,0,BENIGN
2206,4038,0,BENIGN
2525,3845,1,BENIGN
1070,8864,0,BENIGN
3445,7609,0,BENIGN
2566,2265,0,BENIGN
1061,3274,0,BENIGN
2328,3470,0,BENIGN
3421,3577,0,BENIGN
302,4660,0,BENIGN
4277,2068,0,BENIGN
607,6591,0,BENIGN
3171,6974,0,BENIGN
700,5829,0,ANOMALY
1140,2950,0,BENIGN
191,9283,0,BENIGN
2301,4093,0,BENIGN
981,6311,0,BENIGN
2976,2387,0,BENIGN
1185,5274,0,BENIGN
3328,3285,1,BENIGN
3395,4206,0,BENIGN
128,3924,0,BENIGN
2066,8045,0,BENIGN
1817,9471,0,BENIGN
570,2618,0,BENIGN
1896,9562,0,BENIGN
2734,6896,0,BENIGN
3864,8843,0,BENIGN
4722,8063,0,BENIGN
4015,9495,0,BENIGN
2902,2348,0,BENIGN
1687,6556,0,BENIGN
3010,6289,0,BENIGN
155,3422,0,BENIGN
2538,4628,0,BENIGN
1410,3428,0,BENIGN
4058,4033,0,BENIGN
785,7157,0,ANOMALY
3176,9860,0,BENIGN
4342,9691,0,BENIGN
2807,8813,0,ANOMALY
538,2414,0,BENIGN
1842,7708,0,BENIGN
2456,9721,0,BENIGN
525,7635,0,BENIGN
2951,4621,0,BENIGN
4132,6315,0,BENIGN
4781,1754,0,BENIGN
4116,3347,0,BENIGN
2369,1726,0,BENIGN
3848,5923,0,BENIGN
4496,3649,0,BENIGN
2702,3815,0,BENIGN
972,4279,0,BENIGN
1167,3984,0,BENIGN
4930,4807,0,BENIGN
2775,8876,0,BENIGN
1983,7099,0,BENIGN
854,1607,0,BENIGN
4147,7169,0,BENIGN
3737,8790,0,BENIGN
3770,6573,0,BENIGN
575,1634,0,BENIGN
3262,2074,0,BENIGN
1149,2914,0,ANOMALY
1716,1588,0,BENIGN
4778,4231,0,BENIGN
4934,7351,0,BENIGN
3855,4838,0,BENIGN
2492,2973,0,BENIGN
2661,6044,0,BENIGN
3125,7103,0,BENIGN
3052,7683,0,BENIGN
5,6837,0,BENIGN
4870,7783,0,BENIGN
877,6594,0,BENIGN
992,4822,0,BENIGN
4143,4389,0,BENIGN
4365,6914,0,BENIGN
4466,2780,0,BENIGN
636,4688,0,ANOMALY
1694,8211,0,BENIGN
1683,6037,0,BENIGN
4753,7319,0,BENIGN
120,9640,0,BENIGN
831,1081,0,BENIGN
3676,7278,0,BENIGN
1370,7999,0,BENIGN
741,2406,0,BENIGN
117,8410,0,BENIGN
2839,2480,0,BENIGN
1151,4598,0,BENIGN
1932,8993,0,BENIGN
1013,5183,0,BENIGN
1665,4680,1,BENIGN
1082,8644,0,BENIGN
4730,5310,0,BENIGN
513,2758,0,BENIGN
2850,3599,0,BENIGN
560,6616,0,BENIGN
3673,6813,0,BENIGN
4584,4853,0,BENIGN
4993,3292,0,BENIGN
3344,2501,0,BENIGN
4071,9422,0,BENIGN
4800,8550,0,BENIGN
1471,5250,0,BENIGN
581,7991,0,BENIGN
2295,1114,0,BENIGN
3148,5406,0,BENIGN
4250,3347,1,BENIGN
1680,2041,0,BENIGN
3507,7927,0,BENIGN
2745,1011,0,BENIGN
3357,8980,0,BENIGN
4046,8871,0,BENIGN
1244,7375,0,ANOMALY
3119,8098,0,BENIGN
2142,4676,0,BENIGN
3060,7109,0,BENIGN
4549,6397,0,BENIGN
2960,4065,0,BENIGN
2266,3036,1,BENIGN
2480,4046,0,ANOMALY
4647,1540,0,BENIGN
1636,1076,0,BENIGN
1758,4067,0,ANOMALY
4453,1023,0,BENIGN
2071,6134,0,BENIGN
2850,1675,0,BENIGN
3252,7668,0,BENIGN
3731,5267,0,BENIGN
2490,6988,0,BENIGN
1632,8652,0,BENIGN
2817,9680,0,ANOMALY
1016,2485,0,BENIGN
1349,4659,0,BENIGN
4612,3419,0,ANOMALY
3088,8740,0,BENIGN
2840,8143,0,ANOMALY
336,4495,0,BENIGN
4593,1756,0,BENIGN
896,9448,0,BENIGN
3547,2779,0,BENIGN
852,7487,0,BENIGN
1688,1258,0,BENIGN
1932,5075,0,BENIGN
3747,9498,0,BENIGN
2428,9014,0,BENIGN
1569,2118,0,BENIGN
4001,8631,0,ANOMALY
2739,4017,0,BENIGN
3499,5341,0,ANOMALY
3914,2658,0,BENIGN
1067,9378,0,BENIGN
4381,2797,0,BENIGN
2445,1784,0,ANOMALY
4108,6691,0,BENIGN
3374,4196,0,BENIGN
3970,9532,0,BENIGN
2547,1562,0,BENIGN
754,5746,0,BENIGN
2083,3999,0,BENIGN
2775,2193,0,BENIGN
2897,1068,0,BENIGN
4186,6679,0,BENIGN
776,3428,0,BENIGN
1626,7200,0,BENIGN
3070,6396,0,ANOMALY
418,7993,1,BENIGN
115,4598,0,BENIGN
617,1573,0,BENIGN
3975,5214,0,ANOMALY
3268,8636,0,BENIGN
826,2478,1,BENIGN
1517,7127,0,BENIGN
3147,7676,0,ANOMALY
413,3196,0,ANOMALY
729,9166,0,BENIGN
3349,9846,0,BENIGN
2809,7050,0,ANOMALY
676,5650,0,BENIGN
3466,9484,0,BENIGN
2505,5526,0,BENIGN
2968,5412,0,BENIGN
2787,6443,0,ANOMALY
1123,9787,0,BENIGN
4080,3593,0,BENIGN
1572,7852,0,BENIGN
2144,7629,0,BENIGN
1688,4869,0,BENIGN
4133,8971,0,BENIGN
3852,8822,0,BENIGN
3441,3989,0,BENIGN
3767,8062,0,ANOMALY
2327,6340,1,BENIGN
2915,4823,0,BENIGN
4969,4932,0,BENIGN
3953,9554,0,BENIGN
596,3429,0,BENIGN
729,8444,1,BENIGN
1366,8147,0,BENIGN
4493,8631,0,BENIGN
699,4598,0,ANOMALY
396,5329,0,BENIGN
4172,7718,0,BENIGN
4361,9218,0,BENIGN
2503,1092,0,ANOMALY
1820,9500,0,ANOMALY
718,1051,0,BENIGN
2783,1318,0,BENIGN
4947,6688,0,BENIGN
3578,8018,0,BENIGN
144,8210,1,BENIGN
4981,4956,1,ANOMALY
3141,7057,0,BENIGN
4492,7875,0,BENIGN
2939,5431,0,BENIGN
3637,2525,0,BENIGN
3223,8043,0,BENIGN
1168,2278,0,BENIGN
2617,9705,0,BENIGN
1063,7125,0,BENIGN
2157,8874,0,BENIGN
2983,7900,0,BENIGN
3295,3500,0,ANOMALY
4730,4464,0,ANOMALY
1157,3259,0,BENIGN
733,8496,0,BENIGN
4331,3659,0,BENIGN
4847,1255,0,BENIGN
954,2502,0,BENIGN
2540,5656,0,BENIGN
3325,6430,0,ANOMALY
3302,9598,0,ANOMALY
1543,4176,0,BENIGN
1192,2860,1,BENIGN
2994,7158,0,BENIGN
2682,6806,0,BENIGN
1218,5354,0,BENIGN
1541,1722,0,BENIGN
3237,8579,0,BENIGN
2387,1613,0,BENIGN
3720,4331,0,BENIGN
1389,6790,0,ANOMALY
1857,4116,0,BENIGN
1366,1330,0,BENIGN
500,3212,0,BENIGN
1681,6493,0,BENIGN
511,8232,0,BENIGN
4313,6614,0,BENIGN
1325,6913,0,BENIGN
1156,6913,0,BENIGN
1828,6611,0,BENIGN
3142,1319,0,BENIGN
3487,9085,0,BENIGN
1811,5200,1,BENIGN
2924,5791,0,BENIGN
2215,1329,0,BENIGN
4187,9851,0,BENIGN
714,7742,0,BENIGN
3603,5916,0,BENIGN
4135,2793,0,BENIGN
3523,7457,0,BENIGN
4269,9125,0,BENIGN
4749,6703,0,BENIGN
4850,7170,0,BENIGN
1244,7644,0,BENIGN
3710,8420,0,BENIGN
1082,5155,0,BENIGN
456,9411,0,BENIGN
4925,3611,0,BENIGN
895,6691,0,BENIGN
1385,3593,0,BENIGN
1959,1095,0,BENIGN
3073,7041,0,BENIGN
1997,6063,0,ANOMALY
4286,9437,0,BENIGN
505,4349,0,ANOMALY
1215,8644,0,BENIGN
1532,7560,0,BENIGN
3441,6247,0,BENIGN
824,6356,0,BENIGN
929,5077,0,BENIGN
134,5898,0,BENIGN
2106,2417,0,ANOMALY
3628,9846,0,BENIGN
4781,1110,0,BENIGN
1853,9281,0,BENIGN
4911,9954,0,BENIGN
4176,8391,0,BENIGN
2934,6132,0,BENIGN
3285,3504,0,BENIGN
4299,9289,0,BENIGN
2812,6239,0,BENIGN
1251,1292,0,BENIGN
3513,2734,0,BENIGN
1257,6120,1,BENIGN
3377,7393,0,BENIGN
3487,3196,0,ANOMALY
3585,4466,0,BENIGN
1397,2906,0,ANOMALY
3638,2721,0,BENIGN
3331,2816,0,BENIGN
2704,9444,0,BENIGN
471,5227,0,BENIGN
1354,6775,0,BENIGN
2784,4849,0,BENIGN
2832,6228,0,BENIGN
358,7849,0,BENIGN
3020,2058,0,BENIGN
668,3322,0,ANOMALY
4469,9378,0,BENIGN
1146,1948,0,BENIGN
4186,9179,0,BENIGN
3720,5359,0,BENIGN
2746,6660,0,ANOMALY
540,8254,0,BENIGN
2780,9401,0,BENIGN
4965,3093,0,BENIGN
4137,2563,0,BENIGN
4836,9217,0,BENIGN
3776,1174,0,BENIGN
2509,2334,0,BENIGN
2780,1321,0,ANOMALY
925,6698,1,ANOMALY
2957,6604,0,BENIGN
1582,7742,0,BENIGN
3325,8436,0,BENIGN
4486,9524,0,BENIGN
256,6674,0,BENIGN
4805,6002,0,BENIGN
1839,1910,0,BENIGN
1945,1949,0,BENIGN
10,6425,0,BENIGN
2872,3514,0,BENIGN
798,8701,0,BENIGN
4973,1100,0,BENIGN
1016,5646,0,BENIGN
1825,7945,0,BENIGN
4470,3400,0,BENIGN
3137,6801,0,BENIGN
2194,3343,0,BENIGN
224,1352,0,BENIGN
4949,3955,0,BENIGN
4159,2018,0,BENIGN
3926,2179,0,BENIGN
4785,6193,0,BENIGN
4001,4536,0,BENIGN
1634,3502,0,BENIGN
2153,4819,0,BENIGN
511,7855,1,ANOMALY
385,1979,0,BENIGN
405,1976,0,BENIGN
4614,3280,0,BENIGN
4572,6897,1,BENIGN
2001,1107,0,BENIGN
2757,2626,0,BENIGN
1669,9895,0,BENIGN
1461,7229,0,BENIGN
3637,7877,0,BENIGN
2725,1874,0,BENIGN
4810,6543,0,BENIGN
4179,4809,0,BENIGN
2049,3107,0,BENIGN
4147,1559,0,BENIGN
4781,9308,0,BENIGN
