flow_id,source_ip,destination_ip,source_port,destination_port,protocol,tls_version,ja3_fingerprint,flow_duration_ms,packet_count,avg_packet_size,packet_size_std,inter_arrival_time_ms,burstiness_score,bytes_sent,bytes_received,upload_download_ratio,dns_over_https,vpn_usage,tor_usage,failed_connection_attempts,packet_entropy,session_start_hour,weekend_access,label
1,192.168.163.72,159.227.62.166,49622,1194,HTTPS,TLS1.2,ja3_5,683.48,351,949.67,155.37,11.45,0.765,220119,215043,1.024,1,0,1,4,7.609,23,0,Restricted
2,172.26.193.255,192.186.212.166,39722,9050,TLS,TLS1.2,ja3_3,443.01,258,923.31,100.32,12.47,0.846,133386,151821,0.879,1,0,1,7,7.615,6,0,Restricted
3,172.29.231.202,192.6.253.74,37805,853,Tor,TLS1.3,ja3_8,664.67,220,922.21,101.96,8.93,0.714,117714,123884,0.95,1,0,1,3,6.986,14,1,Restricted
4,192.168.29.122,104.233.56.135,50753,853,Tor,TLS1.3,ja3_11,791.69,854,1114.27,184.83,9.99,0.839,612819,1205236,0.508,1,1,0,6,7.783,8,0,Suspicious
5,10.100.209.92,205.241.117.71,7722,443,DoH,TLS1.2,ja3_12,522.27,93,519.08,161.78,18.05,0.345,19914,61493,0.324,1,0,0,1,3.848,11,1,Allowed
6,192.168.105.136,204.45.211.158,36166,443,DoH,TLS1.2,ja3_18,1041.4,1101,773.25,212.96,4.87,0.864,451326,775528,0.582,1,1,1,12,7.962,9,1,Suspicious
7,10.77.199.186,121.84.117.156,4027,853,QUIC,TLS1.2,ja3_8,535.64,500,977.37,83.32,9.85,0.565,210046,679032,0.309,1,0,1,6,6.648,3,1,Restricted
8,192.168.170.200,146.201.55.55,11683,1194,QUIC,TLS1.2,ja3_9,355.88,80,495.85,126.08,28.67,0.382,30384,50775,0.598,1,0,0,0,4.666,22,0,Allowed
9,192.168.78.68,162.49.211.32,36029,853,HTTPS,TLS1.3,ja3_13,747.5,234,810.37,167.47,11.55,0.847,111667,131917,0.846,1,0,1,7,6.55,8,0,Restricted
10,10.64.96.179,121.149.64.107,16034,443,QUIC,TLS1.3,ja3_9,335.63,241,997.3,148.77,15.18,0.85,138376,182995,0.756,1,0,1,5,7.135,2,0,Restricted
11,172.19.63.129,197.248.97.97,14958,9050,DoH,TLS1.3,ja3_5,803.81,570,1091.03,67.67,10.88,0.994,299266,842209,0.355,1,1,1,9,8.09,8,0,Suspicious
12,172.27.209.218,84.157.92.45,49980,80,DoH,TLS1.3,ja3_12,373.23,67,679.83,131.51,29.94,0.323,22199,42506,0.522,1,0,0,1,4.648,7,0,Allowed
13,10.60.137.248,145.233.113.89,50554,443,TLS,TLS1.2,ja3_6,751.99,320,865.59,74.1,15.0,0.667,201428,356924,0.564,1,0,1,3,6.655,21,1,Restricted
14,192.168.43.236,186.184.184.212,26033,80,DoH,TLS1.3,ja3_18,541.16,514,900.51,91.39,11.06,0.558,244984,469820,0.521,1,1,1,5,6.832,0,0,Restricted
15,10.17.36.253,137.36.111.216,51394,1194,TLS,TLS1.3,ja3_14,596.99,423,805.69,117.05,17.62,0.698,260141,269801,0.964,1,1,1,3,6.331,5,1,Restricted
16,172.27.199.162,158.220.55.29,64717,80,HTTPS,TLS1.2,ja3_10,358.23,108,547.22,98.33,17.99,0.391,38587,65413,0.59,1,0,0,2,4.576,20,0,Allowed
17,172.20.122.101,157.23.164.38,36372,80,TLS,TLS1.3,ja3_16,363.17,226,479.55,135.1,25.46,0.261,52898,126685,0.418,0,0,0,1,4.662,0,0,Allowed
18,172.16.18.219,184.81.170.15,16716,443,HTTPS,TLS1.2,ja3_3,830.11,872,1019.58,89.01,11.29,0.884,429979,918550,0.468,1,1,1,12,6.565,23,1,Suspicious
19,172.25.252.79,139.224.148.147,9438,9050,VPN,TLS1.2,ja3_9,946.78,408,945.84,147.36,10.22,0.713,197408,447759,0.441,1,1,0,5,7.859,16,1,Suspicious
20,10.226.134.252,91.188.110.165,47747,1194,DoH,TLS1.3,ja3_15,940.73,626,1116.31,149.66,8.32,0.924,383584,944863,0.406,1,1,0,8,7.687,16,1,Suspicious
21,192.168.250.5,198.40.138.105,5220,1194,TLS,TLS1.2,ja3_19,299.61,87,538.56,106.58,13.39,0.312,32732,52463,0.624,0,0,0,0,4.192,7,0,Allowed
22,192.168.53.80,219.231.187.85,16027,443,TLS,TLS1.3,ja3_3,194.51,197,583.96,145.21,30.64,0.231,90789,105201,0.863,0,0,0,2,4.273,16,0,Allowed
23,172.31.198.115,183.211.174.37,15064,80,HTTPS,TLS1.3,ja3_8,187.49,100,572.14,118.79,29.96,0.301,34309,60509,0.567,1,0,0,2,4.927,15,1,Allowed
24,10.141.254.95,213.18.214.41,44211,9050,QUIC,TLS1.3,ja3_14,289.79,85,549.07,131.96,26.14,0.349,36714,63981,0.574,0,0,0,0,4.026,14,0,Allowed
25,10.93.118.48,156.30.3.195,4996,9050,Tor,TLS1.3,ja3_4,675.69,422,854.75,76.4,15.11,0.805,266087,484793,0.549,1,0,1,5,6.863,7,0,Restricted
26,192.168.126.160,62.155.51.240,10210,9050,HTTPS,TLS1.3,ja3_15,369.8,82,458.18,157.32,33.34,0.232,25682,39158,0.656,1,0,0,1,3.686,7,0,Allowed
27,172.22.237.17,204.67.102.83,4339,80,TLS,TLS1.2,ja3_8,255.52,154,496.64,115.53,14.85,0.353,40933,68870,0.594,0,0,0,1,3.482,5,1,Allowed
28,192.168.80.210,50.231.238.233,57689,9050,TLS,TLS1.2,ja3_13,266.98,209,563.2,140.85,19.86,0.297,85814,104543,0.821,0,0,0,2,3.933,0,1,Allowed
29,192.168.81.124,202.71.103.231,19718,9050,Tor,TLS1.3,ja3_5,396.83,155,555.14,114.71,18.53,0.243,48577,99781,0.487,1,0,0,0,4.54,6,1,Allowed
30,172.31.112.185,201.0.67.134,38981,80,TLS,TLS1.3,ja3_2,340.4,168,541.42,150.3,22.08,0.427,42688,65959,0.647,0,0,0,1,3.983,1,1,Allowed
31,172.26.186.21,196.20.3.73,4751,80,TLS,TLS1.2,ja3_3,682.53,391,931.78,198.57,5.55,0.795,226515,396886,0.571,1,0,1,7,7.507,19,0,Restricted
32,10.62.146.117,192.249.65.182,27485,443,VPN,TLS1.2,ja3_19,568.4,246,748.06,110.78,10.06,0.827,76607,236353,0.324,1,0,1,3,6.717,19,0,Restricted
33,172.19.207.95,201.201.174.142,44105,80,VPN,TLS1.3,ja3_9,619.69,222,876.26,76.33,19.49,0.698,81551,264427,0.308,1,1,1,6,6.627,6,1,Restricted
34,172.28.116.5,45.191.191.68,9601,1194,DoH,TLS1.3,ja3_3,283.8,167,524.05,122.13,28.15,0.555,57284,108586,0.528,1,0,0,0,4.242,0,1,Allowed
35,10.200.105.158,116.104.7.118,5825,80,HTTPS,TLS1.3,ja3_5,631.79,367,974.91,140.59,19.24,0.723,272687,270717,1.007,1,0,1,5,6.892,11,0,Restricted
36,10.178.165.20,82.43.14.127,19700,853,DoH,TLS1.3,ja3_20,677.12,595,1027.04,91.14,8.62,0.921,413800,536942,0.771,1,1,1,14,7.568,20,0,Suspicious
37,10.61.16.48,38.69.163.239,62087,443,HTTPS,TLS1.3,ja3_4,647.49,295,944.86,124.11,11.69,0.478,149491,374788,0.399,1,1,1,5,7.556,3,0,Restricted
38,10.2.31.251,125.83.213.116,48053,1194,HTTPS,TLS1.3,ja3_17,350.63,123,532.59,41.1,31.59,0.366,47859,56077,0.853,0,0,0,0,4.607,15,1,Allowed
39,192.168.159.162,19.197.88.220,7072,9050,QUIC,TLS1.2,ja3_1,1244.22,468,1064.12,157.28,10.56,0.828,257610,429745,0.599,1,1,0,8,7.493,10,0,Suspicious
40,172.17.103.74,208.36.53.6,11613,9050,VPN,TLS1.3,ja3_18,688.94,530,1015.81,178.64,15.17,0.762,240562,384615,0.625,1,1,1,7,7.251,0,0,Restricted
41,172.26.41.109,158.94.168.89,36779,443,QUIC,TLS1.2,ja3_14,173.47,175,599.11,122.77,33.15,0.265,57633,93993,0.613,0,0,0,1,4.302,4,0,Allowed
42,10.29.16.132,22.111.174.88,59935,1194,HTTPS,TLS1.2,ja3_4,236.66,165,492.52,78.98,23.72,0.325,48520,49498,0.98,0,0,0,2,4.938,11,1,Allowed
43,172.25.41.80,215.122.50.163,61694,853,HTTPS,TLS1.2,ja3_14,639.79,516,997.65,90.46,7.86,0.952,404256,313877,1.288,1,1,0,13,8.185,0,0,Suspicious
44,172.28.207.67,131.60.134.183,52298,9050,Tor,TLS1.2,ja3_9,593.37,342,906.97,100.53,15.93,0.747,180469,341835,0.528,1,1,1,4,7.022,5,0,Restricted
45,192.168.175.35,162.138.68.169,57292,9050,HTTPS,TLS1.2,ja3_15,287.38,225,619.79,72.57,26.1,0.475,68576,113339,0.605,0,0,0,1,3.796,11,1,Allowed
46,192.168.87.121,151.222.240.121,15633,443,Tor,TLS1.2,ja3_13,1071.08,1131,901.16,99.81,5.69,0.81,518149,720121,0.72,1,1,0,13,7.775,10,1,Suspicious
47,10.67.200.220,141.49.1.51,24036,80,DoH,TLS1.3,ja3_1,886.75,464,1352.7,110.12,2.81,0.861,371664,871327,0.427,1,1,1,9,8.319,3,1,Suspicious
48,10.93.250.137,199.71.243.4,3531,443,VPN,TLS1.3,ja3_12,290.84,138,659.79,163.32,20.93,0.392,41295,55626,0.742,1,0,0,0,4.012,23,1,Allowed
49,10.48.16.104,134.154.234.71,26268,80,HTTPS,TLS1.3,ja3_2,421.3,204,567.49,130.94,22.09,0.431,81366,104456,0.779,0,0,0,2,4.313,22,1,Allowed
50,10.106.144.249,156.228.169.66,24893,9050,TLS,TLS1.3,ja3_20,326.88,73,490.83,137.3,21.1,0.232,19465,24753,0.786,0,0,0,1,3.732,10,0,Allowed
51,192.168.117.198,4.179.67.70,34258,1194,Tor,TLS1.3,ja3_11,582.41,406,924.23,208.87,20.19,0.711,267870,417073,0.642,1,1,1,6,7.621,12,1,Restricted
52,192.168.22.179,177.71.105.242,28578,9050,Tor,TLS1.2,ja3_20,680.14,448,920.31,104.12,12.2,0.861,249686,505859,0.494,1,0,1,5,7.51,18,1,Restricted
53,10.36.234.110,58.224.83.179,20938,1194,HTTPS,TLS1.3,ja3_19,299.5,244,680.29,134.11,16.72,0.164,80281,176567,0.455,0,0,0,0,4.172,19,1,Allowed
54,10.252.149.94,83.157.79.39,45301,853,VPN,TLS1.3,ja3_6,329.33,143,588.81,87.1,12.62,0.487,57137,78249,0.73,1,0,0,2,3.649,21,0,Allowed
55,172.28.235.60,194.219.226.17,7144,853,Tor,TLS1.3,ja3_8,234.76,188,553.5,100.43,31.44,0.306,64462,106922,0.603,1,0,0,2,4.376,6,0,Allowed
56,172.29.190.121,96.139.172.75,65507,9050,VPN,TLS1.2,ja3_15,244.02,133,612.88,127.49,23.28,0.27,37723,73511,0.513,0,0,0,2,3.791,13,0,Allowed
57,10.12.182.26,139.64.30.102,33423,9050,HTTPS,TLS1.2,ja3_1,673.05,585,918.15,175.9,8.9,0.702,375439,338033,1.111,1,1,1,4,7.126,3,1,Restricted
58,192.168.91.108,194.29.117.154,4315,80,HTTPS,TLS1.2,ja3_15,206.42,231,618.11,61.93,19.07,0.302,72491,128766,0.563,1,0,0,2,4.684,4,1,Allowed
59,192.168.0.24,215.103.194.235,63285,9050,VPN,TLS1.3,ja3_18,614.23,427,835.34,196.05,7.67,0.869,219309,381471,0.575,1,1,1,5,7.353,14,0,Restricted
60,192.168.211.188,210.132.249.114,30519,1194,HTTPS,TLS1.3,ja3_17,761.14,514,855.95,186.83,18.33,0.661,349593,477187,0.733,1,1,1,6,6.733,15,0,Restricted
61,10.82.161.101,187.188.15.132,47786,1194,HTTPS,TLS1.3,ja3_11,252.61,134,521.09,89.76,23.57,0.263,29484,88947,0.331,0,0,0,1,3.887,10,0,Allowed
62,192.168.21.83,63.233.66.93,26126,853,Tor,TLS1.2,ja3_3,342.27,118,563.92,127.26,30.45,0.299,40857,65297,0.626,0,0,0,1,4.426,13,1,Allowed
63,192.168.139.78,140.214.13.121,28272,443,HTTPS,TLS1.3,ja3_13,379.0,77,515.54,146.75,27.97,0.351,25107,28719,0.874,1,0,0,2,3.793,18,0,Allowed
64,172.28.11.129,204.213.146.101,32283,443,QUIC,TLS1.3,ja3_13,1259.46,412,1517.57,189.44,3.17,0.838,421302,419093,1.005,1,1,1,14,7.596,13,0,Suspicious
65,192.168.128.205,179.24.221.37,29586,9050,TLS,TLS1.3,ja3_11,313.58,115,544.27,123.13,18.86,0.403,34530,83943,0.411,1,0,0,2,4.432,21,1,Allowed
66,10.148.36.182,136.107.158.1,61287,853,VPN,TLS1.2,ja3_13,697.33,578,957.93,105.27,13.99,0.776,361834,734346,0.493,1,1,1,5,7.255,18,0,Restricted
67,10.145.6.122,49.107.86.217,9917,9050,HTTPS,TLS1.2,ja3_9,320.02,136,615.62,148.2,14.76,0.26,58526,83906,0.698,1,0,0,1,5.154,12,1,Allowed
68,172.29.74.255,143.241.229.191,23142,9050,QUIC,TLS1.3,ja3_9,116.88,106,576.15,170.14,23.69,0.366,39763,53006,0.75,1,0,0,2,3.094,2,1,Allowed
69,172.19.228.94,73.89.116.191,63409,1194,HTTPS,TLS1.2,ja3_2,366.25,194,577.08,155.35,22.51,0.351,78096,70175,1.113,0,0,0,2,5.335,0,0,Allowed
70,172.29.229.171,191.163.243.21,41743,853,HTTPS,TLS1.2,ja3_16,120.42,148,670.78,143.65,27.41,0.272,44772,91118,0.491,0,0,0,1,4.615,21,0,Allowed
71,172.16.156.156,117.5.90.66,31500,1194,QUIC,TLS1.2,ja3_20,653.27,491,855.57,115.27,13.51,0.776,288376,453365,0.636,1,0,1,4,6.631,19,0,Restricted
72,10.229.226.231,211.149.166.114,64247,1194,TLS,TLS1.2,ja3_10,683.6,409,782.22,80.61,9.28,0.532,206220,196592,1.049,1,0,1,5,6.758,18,1,Restricted
73,192.168.157.79,45.178.22.100,6004,80,Tor,TLS1.2,ja3_4,251.79,176,692.57,165.56,28.54,0.317,69436,144949,0.479,0,0,0,1,4.421,22,1,Allowed
74,172.26.227.8,158.184.197.200,53205,80,TLS,TLS1.3,ja3_18,614.99,708,951.56,169.54,7.62,0.854,359811,836930,0.43,1,1,0,12,8.347,13,1,Suspicious
75,192.168.53.66,204.216.199.133,1853,9050,DoH,TLS1.2,ja3_14,367.24,167,618.18,118.65,11.08,0.282,50569,99308,0.509,1,0,0,1,4.514,11,1,Allowed
76,10.225.175.204,12.180.162.15,12567,80,Tor,TLS1.3,ja3_20,779.66,349,875.43,55.43,10.91,0.43,149107,235297,0.634,1,1,1,3,6.978,17,1,Restricted
77,172.24.164.103,154.98.216.98,22146,853,TLS,TLS1.3,ja3_15,505.87,180,585.63,122.07,25.09,0.482,58918,99239,0.594,1,0,0,1,3.385,7,1,Allowed
78,192.168.139.19,131.149.15.42,23070,443,DoH,TLS1.3,ja3_6,958.39,217,843.28,81.25,16.52,0.926,94720,214329,0.442,1,1,1,7,6.771,15,0,Restricted
79,10.48.143.124,123.214.10.249,23328,1194,VPN,TLS1.3,ja3_18,272.58,196,744.39,107.0,36.7,0.255,62766,175458,0.358,1,0,0,2,2.416,0,0,Allowed
80,10.90.248.82,75.164.234.126,33043,80,HTTPS,TLS1.3,ja3_16,338.83,132,591.1,92.96,23.23,0.413,43943,81254,0.541,1,0,0,2,4.263,14,0,Allowed
81,10.153.72.249,145.62.192.132,27526,853,QUIC,TLS1.3,ja3_16,258.04,136,488.36,137.13,21.26,0.506,41356,78149,0.529,0,0,0,0,4.275,17,1,Allowed
82,172.24.171.244,150.226.74.145,24080,9050,QUIC,TLS1.3,ja3_9,166.42,41,649.98,181.76,27.52,0.278,20366,29309,0.695,1,0,0,2,3.671,7,0,Allowed
83,192.168.192.112,103.61.23.113,8859,80,Tor,TLS1.2,ja3_7,496.35,421,1000.51,181.42,9.97,0.667,229605,542884,0.423,1,1,1,6,6.961,6,1,Restricted
84,172.23.209.115,67.237.156.150,65282,443,HTTPS,TLS1.3,ja3_8,273.14,154,521.6,167.11,26.54,0.323,48595,95856,0.507,1,0,0,2,4.219,11,0,Allowed
85,10.41.217.126,209.190.153.179,19001,443,TLS,TLS1.3,ja3_5,301.47,148,486.46,132.17,34.72,0.349,48704,82546,0.59,0,0,0,1,3.6,20,1,Allowed
86,10.199.200.126,219.223.9.6,38645,1194,DoH,TLS1.3,ja3_15,460.45,161,559.65,145.12,32.87,0.299,61998,61744,1.004,0,0,0,1,4.88,10,0,Allowed
